,viet tat,mean
678,TCKH,"Tài chính - Kế hoạch, Tạp chí Khoa học, trái cây không hạt"
679,TCKT,Tài chính - Kế toán
680,TCMN,thủ công mỹ nghệ
681,TCMR,tiêm chủng mở rộng
682,TCN,trung cấp nghề
683,TCNN,Tài chính nhà nước
684,TCS,Trịnh Công Sơn
685,TCT,Tổng công ty
686,TCTD,tổ chức tín dụng
687,TCTT,trò chơi trực tuyến
688,TCTTMSG,Tổng công ty Thương mại Sài Gòn
689,TCVN,Tiêu chuẩn Việt Nam
690,TCVSG,Thảo Cầm Viên Sài Gòn
691,TD,tình dục
692,TĐ,từ điển
693,TĐBKVN,Từ Điển Bách Khoa Việt Nam
694,TĐC,tái định cư
695,TDTT,Thể dục thể thao
696,TDTTQG,Thể dục thể thao Quốc gia
697,TDV,trình dược viên
698,TFS,Hãng phim Truyền hình TPHCM
699,TG,thế giới
700,TGĐ,Tổng giám đốc
701,TGPL,trợ giúp pháp lý
702,TH,"Truyền hình, Trung học"
703,THCB,Trung học Chuyên ban
704,THCN,Trung học chuyên nghiệp
705,THCS,Trung học cơ sở
706,THCSND,Thực hiện chính sách nhà đất
707,THCSNĐ,Thực hiện chính sách nhà đất
708,THDL,trung học dân lập
709,THGT,tín hiệu giao thông
710,THKTS,truyền hình kỹ thuật số
711,THKTSMĐ,truyền hình kỹ thuật số mặt đất
712,THPT,Trung học phổ thông
713,THQG,thương hiệu quốc gia
714,THS,Tín hiệu số
715,THTT,truyền hình trực tiếp
716,THVN,Truyền hình Việt Nam
717,THX,Tân hoa xã
718,TK,thiết kế
719,TKCN,tìm kiếm cứu nạn
720,TM,Thương mại
721,TMCP,Thương mại cổ phần
722,TMĐT,Thương mại Điện tử
723,TMN,Thép Miền Nam
724,TMV,Công ty ôtô Toyota Việt Nam
725,TN,Thanh niên
726,TNCN,thu nhập cá nhân
727,TNCS,Thanh niên cộng sản
728,TNĐH,tốt nghiệp đại học
729,TNDN,Thu nhập doanh nghiệp
730,TNĐT,Thoát nước Đô thị
731,TNGT,Tai nạn giao thông
732,TNHC,Trinh nữ hoàng cung
733,TNHH,Trách nhiệm hữu hạn
734,TNK,thuế nhập khẩu
735,TNKQ,trắc nghiệm khách quan
736,TNLN,thanh niên lập nghiệp
737,TNMT,Tài nguyên Môi trường
738,TNND,Tiếng nói Nhân dân
739,TNNT,thanh niên nông thôn
740,TNO,Thanh niên Online
741,TNS,tu nghiệp sinh
742,TNSV,thanh niên sinh viên
743,TNSVVN,thanh niên sinh viên Việt Nam
744,TNT,Tình Nguyện Trẻ
745,TNTN,"thanh niên tình nguyện, tài nguyên thiên nhiên"
746,TNTP,Thiếu niên Tiền phong
747,TNV,Tình nguyện viên
748,TNVN,Thanh niên Việt Nam
749,TNXH,tệ nạn xã hội
750,TNXK,Thanh niên xung kích
751,TNXP,Thanh niên xung phong
752,TPCĐ,trái phiếu chuyển đổi
753,TPCN,Thực phẩm chức năng
754,TPCT,Thành phố Cần Thơ
755,TPHCM,Thành phố Hồ Chí Minh
756,TPO,Tiên phong Online
757,TQ,Trung Quốc
758,TSDĐ,tiền sử dụng đất
759,TSKH,Tiến sỹ Khoa học
760,TSN,Tân Sơn Nhất
761,TT,"Trung tâm, Thị trường"
762,TTBĐS,thị trường bất động sản
763,TTBDVH,Trung tâm bồi dưỡng văn hóa
764,TTBDVHNG,Trung tâm bồi dưỡng văn hóa ngoài giờ
765,TTBVQTG,Trung tâm bảo vệ quyền tác giả
766,TTBYT,Trang thiết bị y tế
767,TTCK,"Trung tâm chứng khoán, Thị trường Chứng khoán"
768,TTCN,"Tuổi trẻ Chủ nhật, Trung tâm cai nghiện, Tiểu thủ công nghiệp"
769,TTCP,"Thanh tra Chính phủ , Thủ tướng Chính phủ"
770,TTCT,Thể Thao Cuối Tuần
771,TTĐB,thuế Tiêu thụ đặc biệt
772,TTDD,Trung tâm Dinh dưỡng
773,TTĐM,Trung tâm Điện máy
774,TTDV,Trung tâm Dịch vụ
775,TTDVVL,Trung tâm Dịch vụ việc làm
776,TTg,Thủ tướng
777,TTGDCK,Trung tâm giao dich chứng khoán
778,TTGDTX,Trung tâm Giáo dục thường xuyên
779,TTGT,Trật tự Giao thông
780,TTH,Thừa Thiên Huế
781,TTHTCĐ,Trung tâm học tập cộng đồng
782,TTHTSV,trung tâm hỗ trợ sinh viên
783,TTK,tổng thư ký
784,TTLT,Thông tư liên tịch
785,TTN,thanh thiếu niên
786,TTNN,Trung tâm Ngoại Ngữ
787,TTO,Tuổi trẻ online
788,TTQLKT,trật tự quản lý kinh tế
789,TTTH,Trung tâm Tin học
790,TTTM,trung tâm thương mại
791,TTTON,thụ tinh trong ống nghiệm
792,TTTTN,trí thức trẻ tình nguyện
793,TTVGT,trật tự viên giao thông
794,TTVH,Trung tâm Văn hóa
795,TTVN,"Trí tuệ Việt Nam, Trái tim Việt Nam, Thể thao Việt Nam"
796,TTXH,trật tự xã hội
797,TTXVN,Thông tấn xã Việt Nam
798,TTYT,Trung tâm y tế
799,TTYTDP,Trung tâm Y tế dự phòng
800,TV,"Thư viện, Tivi"
801,TVHK,tiếp viên hàng không
802,TVN,Than Việt Nam
803,TVQH,Thường vụ Quốc hội
804,TVV,tư vấn viên
805,TW,Trung ương
806,TX,Thị xã
807,UBCKNN,Ủy ban Chứng khoán Nhà nước
808,UBKT,Uỷ ban Kiểm tra
809,UBMTTQ,Ủy ban Mạt trận Tổ quốc
810,UBMTTQVN,Ủy ban Mặt trận Tổ quốc Việt Nam
811,UBNDTP,Ủy ban Nhân dan Thành phố
812,UBTDTT,Ủy ban Thể dục Thể thao
813,UBTVQH,Ủy ban thường vụ Quốc hội
814,ƯCV,ứng cử viên
815,UNDP,Chương trình Phát triển Liên Hợp Quốc
816,UNESCO,"Tổ chức Giáo dục, Khoa học và Văn hóa của Liên hiệp quốc"
817,UNFPA,Quỹ dân số Liên Hợp Quốc
818,UNHCR,Văn phòng Cao ủy Liên hợp quốc về người tỵ nạn
819,UNICEF,Quỹ Nhi đồng Liên hợp quốc
820,UNIFIL,Lực lượng gìn giữ hòa bình của LHQ tại miền nam Libăng
821,UT,ung thư
822,UV,Ủy viên
823,UVBCH,Ủy viên ban chấp hành
824,UVBCT,Ủy viên Bộ chính trị
825,VCB,Ngân hàng ngoại thương Việt Nam
826,VCK,Vòng chung kết
827,VD,ví dụ
828,VĐ,Vô địch
829,VDC,Công ty Điện toán và Truyền số liệu
830,VĐQG,Vô địch Quốc gia
831,VĐV,Vận động viên
832,VĐVQG,Vận động viên Quốc gia
833,VFF,Liên đoàn bóng đá Việt Nam
834,VH,Văn hóa
835,VHGDTNTN,Văn hóa Giáo dục Thanh niên Thiếu niên
836,VHGDTTNNĐ,Văn hóa Giáo dục Thanh thiếu niên và Nhi đồng
837,VHNT,Văn học Nghệ thuật
838,VHTT,Văn hóa Thông tin
839,VKS,Viện Kiểm sát
840,VKSND,Viện Kiểm sát Nhân dân
841,VKSNDTC,Viện Kiểm sát Nhân dân Tối cao
842,VL,Vật lý
843,VLTK,Võ Lâm Truyền Kỳ
844,VLXD,Vật liệu xây dựng
845,VN,Việt Nam
846,VNCC,Tổng Công ty Xi măng Việt Nam
847,VNM,Vinamilk
848,VP,Văn phòng
849,VPCP,Văn phòng chính phủ
850,VPĐD,Văn phòng đại diện
851,VQG,Vườn Quốc gia
852,VS,Vệ sinh
853,VSP,Xí nghiệp Liên doanh Vietsovpetro
854,VT,"Viên thông, Vi tính, Vũ trụ"
855,VTV,Đài truyền hình Việt Nam
856,VYSA,Hội Thanh niên Sinh viên Việt Nam tại Nhật Bản
857,WB,Ngân hàng thế giới
858,WTO,Tổ chức Thương mại thế giới
859,XD,Xây dựng
860,XDCB,xây dựng cơ bản
861,XĐGN,Xoá đói giảm nghèo
862,XDHK,Xăng dầu hàng không
863,XH,Xã hội
864,XHCN,Xã hội chủ nghĩa
865,XHH,xã hội hóa
866,XK,Xuất khẩu
867,XKLĐ,xuất khẩu lao động
868,XN,Xí nghiệp
869,XNK,Xuất nhập khẩu
870,XSKT,xổ số kiến thiết
871,XTTM,Xúc tiến thương mại
872,XX,Xét xử
873,YKVN,Y khoa Việt Nam
874,YTDP,Y tế Dự phòng
875,YTế,Y tế
